0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/css/adminnavbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:43 +0530] "GET /CollaborationFront/Images/logo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/css/adminnavbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:23:44 +0530] "GET /CollaborationFront/Images/logo3.jpg HTTP/1.1" 304 -
